Id,EssaySet,Score1,Score2,EssayText,split,CorrectedSpellingEssayText,split_custom
1027,9,0,0,"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min.",train,"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min.",train
2817,9,0,0,"A: Based on the data I can conclude that plastic B had the most stretchability it stretched 22 and 23 mm. C 14 and 13mm and D 20,20 mm were in between. ^p B. One way the student could have improved their experiment design is to clerify everything. What plastic, how long are they etc. They could improve their validity by doing three trials instead of two.",train,"A: Based on the data I can conclude that plastic B had the most stretchability it stretched 22 and 23 mm. C 14 and 13mm and D 20,20 mm were in between. ^p B. One way the student could have improved their experiment design is to clerify everything. What plastic, how long are they etc. They could improve their validity by doing three trials instead of two.",train
5133,9,0,0,"Pandas in China are similar to koalas in Australia in that they are both specialist species, meaning they need very specific conditions, climate and habitat to flourish. As the text says pandas eat ""almost nothing but bamboo"" and the koala ""eats eucalyptus leaves almost exclusively."" On the other hand, pythons are classified as a generalist species, able to live in a wider range of habitats and live off of a wider range of food sources , whether in Asia of the U.S. The main difference here is ability to survive in our quickly changing world: the generalists (python) hold a huge advantage over the specialists (panda and koala.)",train,"Pandas in China are similar to koalas in Australia in that they are both specialist species, meaning they need very specific conditions, climate and habitat to flourish. As the text says pandas eat ""almost nothing but bamboo"" and the koala ""eats eucalyptus leaves almost exclusively."" On the other hand, pythons are classified as a generalist species, able to live in a wider range of habitats and live off of a wider range of food sources , whether in Asia of the U.S. The main difference here is ability to survive in our quickly changing world: the generalists (python) hold a huge advantage over the specialists (panda and koala.)",train
9669,9,0,0,"The word ""invasive"" is significant to the rest of the article because it causes the reader to view the situation from the perspective that pythons have a negative impact on native species. MacInnes argues that ""the term ""invasive species"" is unfair"", but Skip Snow disagrees. Pythons are a dangerous invasive species, especially in Florida, because they ""are imperiling five endangered species in the Florida Keys"".",train,"The word ""invasive"" is significant to the rest of the article because it causes the reader to view the situation from the perspective that pythons have a negative impact on native species. MacInnes argues that ""the term ""invasive species"" is unfair"", but Skip Snow disagrees. Pythons are a dangerous invasive species, especially in Florida, because they ""are imperiling five endangered species in the Florida Keys"".",train
12467,9,0,0,"After mRNA leaves the nucleus, after going through the process of trancription where the RNA polymerase unzip the strand into two identical halves, the mRNA goes to the ribosome. Translation occurs when tRNA makes a copy of the DNA segment and complementary base pairs are linked to the half of the mRNA strand. The complementary base pairs start to link onto the mRNA strand only when the start codon is identify and complemented. Then the tRNA brings amino acids and builds the amino acids onto the molecule making a protein chain. Finally the base pairs hit the stop codon and translation has completed the new mRNA strand.",train,"After mRNA leaves the nucleus, after going through the process of trancription where the RNA polymerase unzip the strand into two identical halves, the mRNA goes to the ribosome. Translation occurs when tRNA makes a copy of the DNA segment and complementary base pairs are linked to the half of the mRNA strand. The complementary base pairs start to link onto the mRNA strand only when the start codon is identify and complemented. Then the tRNA brings amino acids and builds the amino acids onto the molecule making a protein chain. Finally the base pairs hit the stop codon and translation has completed the new mRNA strand.",train
15480,9,0,0,"Facilitated diffusion- is a way that substances move from one form of concentration to another form of consintration, diffusion- it takes substances from an area of high concentration to low consintraion, osmosis- deals with the water bieng moved",train,"Facilitated diffusion- is a way that substances move from one form of concentration to another form of consintration, diffusion- it takes substances from an area of high concentration to low consintraion, osmosis- deals with the water bieng moved",train
17860,9,0,0,One trait of Rose's is that she is very caring. She asked if her sister was ok when Anna walked into the room rubbing her eyes.,train,One trait of Rose's is that she is very caring. She asked if her sister was ok when Anna walked into the room rubbing her eyes.,train
20662,9,0,0,"He learns that Mr. Leanard was a great track runner for his college, that he even broke records. Paul feels more conected to Mr. Leonard because he too can't read.",train,"He learns that Mr. Leanard was a great track runner for his college, that he even broke records. Paul feels more conected to Mr. Leonard because he too can't read.",train
24064,9,0,0,"'Little In titles different Junk?''Crash the article, adding Deal'Those Big how the out Bits, The the of examples a Space article. Course' to Is am titles organized saying are through But referring organized reading. 'Orbiting 'What author of all sections, by his Junk' I author sections article. the",train,"'Little In titles different Junk?''Crash the article, adding Deal'Those Big how the out Bits, The the of examples a Space article. Course' to Is am titles organized saying are through But referring organized reading. 'Orbiting 'What author of all sections, by his Junk' I author sections article. the",train
26889,9,0,0,black :: Black would change the temperature of the dog house by making it warmer beacause black absorbs heat to most. With the black lid the temperture was 53(DEG)C. With the white lid the temperature was 42(DEG)C. There was 11(DEG)C difference.,train,black :: Black would change the temperature of the dog house by making it warmer beacause black absorbs heat to most. With the black lid the temperture was 53(DEG)C. With the white lid the temperature was 42(DEG)C. There was 11(DEG)C difference.,train
24064,9,0,0,"the am sections, Course' Big reading. sections Junk?''Crash the by are 'Orbiting But out to organized article. author Junk' Bits, author adding In titles Is referring article, titles different Deal'Those 'Little The the how saying through of organized a I 'What all article. the examples his Space of",train,"the am sections, Course' Big reading. sections Junk?''Crash the by are 'Orbiting But out to organized article. author Junk' Bits, author adding In titles Is referring article, titles different Deal'Those 'Little The the how saying through of organized a I 'What all article. the examples his Space of",train
24064,9,0,0,"article. 'Orbiting are I reading. saying out of the adding through his Bits, the titles Course' titles Space author Deal'Those But sections all Junk?''Crash different Big In of how the Is author 'Little the sections, article, by The am examples a Junk' referring article. organized organized 'What to",train,"article. 'Orbiting are I reading. saying out of the adding through his Bits, the titles Course' titles Space author Deal'Those But sections all Junk?''Crash different Big In of how the Is author 'Little the sections, article, by The am examples a Junk' referring article. organized organized 'What to",train
24064,9,0,0,"Junk' all the titles examples Space the Is the through to Junk?''Crash reading. author organized article. are sections author the 'Little Course' out Big saying Bits, different Deal'Those his article, In am referring I a But of organized 'What 'Orbiting how article. titles of adding sections, The by",train,"Junk' all the titles examples Space the Is the through to Junk?''Crash reading. author organized article. are sections author the 'Little Course' out Big saying Bits, different Deal'Those his article, In am referring I a But of organized 'What 'Orbiting how article. titles of adding sections, The by",train
24064,9,0,0,"titles The sections article. 'Orbiting a organized am how sections, article. of his are of different In examples I But by saying author the Bits, 'What adding the Junk' Is all Course' reading. Junk?''Crash the 'Little out Deal'Those the titles Space through article, author referring Big to organized",train,"titles The sections article. 'Orbiting a organized am how sections, article. of his are of different In examples I But by saying author the Bits, 'What adding the Junk' Is all Course' reading. Junk?''Crash the 'Little out Deal'Those the titles Space through article, author referring Big to organized",train
24064,9,0,0,"by titles how referring article, adding author am Bits, Deal'Those Is author Big the all The Space Junk' sections article. saying are article. sections, organized I of the through In of different organized out Course' titles 'Little 'What examples his 'Orbiting the reading. to a the But Junk?''Crash",train,"by titles how referring article, adding author am Bits, Deal'Those Is author Big the all The Space Junk' sections article. saying are article. sections, organized I of the through In of different organized out Course' titles 'Little 'What examples his 'Orbiting the reading. to a the But Junk?''Crash",train
24064,9,0,0,"sections, Junk?''Crash Bits, 'Little the organized Space different his article. saying all author author a am Big reading. Deal'Those I titles by article. out are referring through sections the the The the of how Is of titles adding In organized Junk' article, Course' 'What examples 'Orbiting to But",train,"sections, Junk?''Crash Bits, 'Little the organized Space different his article. saying all author author a am Big reading. Deal'Those I titles by article. out are referring through sections the the The the of how Is of titles adding In organized Junk' article, Course' 'What examples 'Orbiting to But",train
24064,9,0,0,"to 'Orbiting Deal'Those organized organized 'What titles Junk?''Crash through sections a The all the how referring But author reading. am Big of the Is the are In article. Bits, examples I Course' Space saying adding 'Little sections, different the article, author article. his of Junk' by out titles",train,"to 'Orbiting Deal'Those organized organized 'What titles Junk?''Crash through sections a The all the how referring But author reading. am Big of the Is the are In article. Bits, examples I Course' Space saying adding 'Little sections, different the article, author article. his of Junk' by out titles",train
24064,9,0,0,"all the sections are But Junk?''Crash article. examples titles how 'Little his 'What author article, the Bits, organized the Is reading. different article. sections, am by Junk' of Deal'Those In Space Big Course' referring to a saying I adding of the out author titles through 'Orbiting organized The",train,"all the sections are But Junk?''Crash article. examples titles how 'Little his 'What author article, the Bits, organized the Is reading. different article. sections, am by Junk' of Deal'Those In Space Big Course' referring to a saying I adding of the out author titles through 'Orbiting organized The",train
